website,correct_documentation_url
https://www.gloucester.gov.uk,https://www.gloucester.gov.uk/planning-development/conservation-regeneration/conservation-areas
https://www.great-yarmouth.gov.uk,https://docs.great-yarmouth.gov.uk/article/13126/Conservation-areas
https://www.southglos.gov.uk,https://beta.southglos.gov.uk/conservation-area
https://www.epsom-ewell.gov.uk,https://www.epsom-ewell.gov.uk/conservation-areas
https://www.westberks.gov.uk,https://www.westberks.gov.uk/conservationareas
https://www.rother.gov.uk,https://www.rother.gov.uk/planning-and-building-control/conservation-and-design/conservation-areas
https://www.n-somerset.gov.uk,https://n-somerset.gov.uk/my-services/planning-building-control/heritage-planning/conservation-areas
https://www.lbbd.gov.uk,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/conservation-areas
https://www.rossendale.gov.uk,https://www.rossendale.gov.uk/planning-building-control/planning-4/2
https://www.torbay.gov.uk,https://www.torbay.gov.uk/planning-and-building-control/apply-for-planning-permission/conservation-area-appraisals
https://www.dover.gov.uk,https://www.dover.gov.uk/Planning/Heritage/Conservation-Areas/Conservation-Areas.aspx
https://www.sandwell.gov.uk,https://www.sandwell.gov.uk/planning/historic-environment/3
https://www.doncaster.gov.uk,https://www.doncaster.gov.uk/services/planning/conservation-areas-in-doncaster
https://www.easthants.gov.uk,https://www.easthants.gov.uk/planning-services/heritage-and-trees/conservation-areas/conservation-area-guidance
https://www.stalbans.gov.uk,https://www.stalbans.gov.uk/conservation-areas
https://www.peterborough.gov.uk,https://www.peterborough.gov.uk/council/planning-and-development/conservation-trees-and-hedges/conservation-areas
https://www.medway.gov.uk,https://www.medway.gov.uk/info/200147/applying_for_planning_permission/129/conservation_areas_and_listed_buildings
https://www.southwark.gov.uk,https://www.southwark.gov.uk/planning-environment-and-building-control/planning/design-and-conservation/conservation-areas/list
https://www.wirral.gov.uk,https://www.wirral.gov.uk/planning-and-building/built-conservation/conservation-areas
https://www.sstaffs.gov.uk,https://www.sstaffs.gov.uk/planning/conservation-and-heritage/south-staffordshires-conservation-areas
https://www.rochdale.gov.uk,https://www.rochdale.gov.uk/heritage-conservation/conservation-areas
https://www.buckinghamshire.gov.uk,https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/
https://www.castlepoint.gov.uk,https://www.castlepoint.gov.uk/conservation-areas
https://www.plymouth.gov.uk,https://www.plymouth.gov.uk/conservation-areas
https://www.camden.gov.uk,https://www.camden.gov.uk/conservation-area-appraisal-and-management-strategies
